"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,          76,      -4.468001261,       -4.37022315,       -4.26052546,      -8.247492105
          0,           0,          77,      -4.490457273,      -4.395983429,      -4.292656478,      -8.244675782
          0,           0,          78,      -4.515911155,      -4.422597823,      -4.327255766,      -8.242907705
          0,           0,          79,      -4.543610371,       -4.44944524,      -4.363313923,      -8.242137029
          0,           0,          80,      -4.572549966,      -4.475463738,      -4.399205247,       -8.24224315
          0,           0,          81,      -4.601589571,      -4.499105254,      -4.432463985,      -8.243088451
          0,           0,          82,      -4.629402221,      -4.518645515,      -4.460173324,      -8.244542602
          0,           0,          83,      -4.654672567,      -4.532694649,      -4.479724146,      -8.246451858
          0,           0,          84,      -4.676406741,      -4.540791596,      -4.489868641,      -8.248606797
          0,           0,          85,      -4.693840928,      -4.543537766,      -4.491390663,      -8.250897703
          0,           0,          86,      -4.707362033,       -4.54244686,      -4.486753982,      -8.253231993
          0,           0,          87,      -4.717697714,      -4.539486184,      -4.479045952,      -8.255510513
          0,           0,          88,       -4.72611629,      -4.536532618,      -4.471071755,      -8.257684078
          0,           0,          89,      -4.734063226,      -4.535063131,      -4.464889288,      -8.259755112
          0,           0,          90,       -4.74293279,      -4.536039306,      -4.461810364,      -8.261698307
          0,           0,          91,      -4.753824446,      -4.540007033,      -4.462577725,       -8.26351957
          0,           0,          92,      -4.767443759,      -4.547168873,      -4.467564719,      -8.265214974
          0,           0,          93,      -4.784128055,      -4.557466467,      -4.476872012,      -8.266763168
          0,           0,          94,      -4.803862656,      -4.570546886,      -4.490401214,      -8.268121804
          0,           0,          95,      -4.826285111,      -4.585816485,      -4.507878733,      -8.269275195
          0,           0,          96,      -4.850657597,      -4.602429195,      -4.528844383,      -8.270166505
          0,           0,          97,      -4.875883589,      -4.619358698,      -4.552607112,       -8.27064383
          0,           0,          98,      -4.900584734,      -4.635475823,      -4.578193084,      -8.270721104
          0,           0,          99,      -4.923230246,       -4.64967293,      -4.604291584,      -8.270381197
          0,           0,         100,      -4.942482216,      -4.661176104,      -4.629262109,      -8.269624964
          0,           0,         101,      -4.957475819,      -4.669644124,      -4.651299376,      -8.268388092
          0,           0,         102,      -4.968076991,      -4.675182986,      -4.668724537,      -8.266746751
          0,           0,         103,      -4.974867215,      -4.678426956,       -4.68042153,      -8.264767347
          0,           0,         104,      -4.978851973,      -4.680228532,      -4.686185299,      -8.262476753
          0,           0,         105,      -4.981538908,      -4.681468065,      -4.686758144,      -8.259929122
          0,           0,         106,      -4.982226329,      -4.682959546,      -4.683547038,      -8.257231921
          0,           0,         107,      -4.983150111,      -4.685209753,      -4.678123383,      -8.254478514
          0,           0,         108,      -4.983630243,      -4.688292315,      -4.671906607,      -8.251756934
          0,           0,         109,      -4.983424764,      -4.692131525,      -4.666053983,       -8.24914386
